"統計期","學制別","總計[人]","升學/合計[人]","升學/大學校院[人]","升學/專科學校[人]","升學/高中或高職[人]","升學/師專師院[人]","升學/軍警學校[人]","升學/其他[人]","就業/合計[人]","就業/農林漁牧狩獵業[人]","就業/礦業及土石採取業[人]","就業/製造業或營造業[人]","就業/水電燃氣業[人]","就業/批發零售及餐飲業[人]","就業/金融保險不動產及租賃業[人]","就業/運輸倉儲通信業[人]","就業/社會及個人服務業[人]","就業/其他[人]","閒居[人]","其他[人]"
"75學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75學年","高級中學",14817,9872,0,9688,0,3,181,0,735,6,3,92,10,242,63,113,126,80,3820,390
"75學年","高級職業學校",23683,1692,0,1520,0,0,171,1,15376,124,42,2675,430,7545,1705,973,993,889,5394,1221
"75學年","國民中學",44006,35702,0,4639,29990,3,218,852,2180,14,3,790,73,563,161,62,326,188,4895,1229
"76學年","總計",85108,48162,0,16632,29768,14,688,1060,18813,220,141,3752,774,8194,1621,1651,1380,1080,14700,3433
"76學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76學年","高級中學",15572,10514,0,10283,0,6,225,0,917,16,21,83,40,234,98,80,153,192,3601,540
"76學年","高級職業學校",25644,2199,0,2033,0,0,166,0,15831,191,118,2920,656,7472,1383,1529,760,802,6169,1445
"76學年","國民中學",43892,35449,0,4316,29768,8,297,1060,2065,13,2,749,78,488,140,42,467,86,4930,1448
"77學年","總計",86790,48970,0,17212,30159,9,614,976,18352,169,32,3129,734,8366,2542,885,1711,784,15389,4079
"77學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77學年","高級中學",16276,10370,0,10073,0,1,296,0,985,27,9,165,100,341,125,42,121,55,4431,490
"77學年","高級職業學校",27008,2935,0,2798,0,0,137,0,15722,138,19,2433,559,7614,2301,813,1174,671,6312,2039
"77學年","國民中學",43506,35665,0,4341,30159,8,181,976,1645,4,4,531,75,411,116,30,416,58,4646,1550
